id,name,absolute_magnitude_h,is_potentially_hazardous_asteroid,epoch_osculation,eccentricity,semi_major_axis,inclination,ascending_node_longitude,perihelion_argument,mean_anomaly,orbital_period,perihelion_distance,aphelion_distance
2000433,433 Eros (A898 PA),10.4,False,2460800.5,.2227480169011467,1.45815896084448,10.82830761253864,304.2718959654088,178.9225697371719,198.5980421063379,643.1403141999031,1.133356943989735,1.782960977699224
2000719,719 Albert (A911 TB),15.59,False,2460800.5,.5466515285670863,2.636355360842985,11.57399179534264,183.8603455346328,156.2024606611706,194.5344276750867,1563.523276676472,1.195187672992135,4.077523048693836
2000887,887 Alinda (A918 AA),13.82,False,2460800.5,.5711888387531847,2.473267631764445,9.399888123741285,110.4081643743482,350.5188040032795,30.88098141695885,1420.708888548773,1.060564765251072,3.885970498277818
2001036,1036 Ganymed (A924 UB),9.18,False,2460800.5,.5329907224613039,2.665800727933956,26.68214802215928,215.4834641560348,132.5039389151482,52.26757683220741,1589.790692990966,1.244953672014567,4.086647783853346
2001221,1221 Amor (1932 EA1),17.37,False,2460800.5,.434592867636064,1.919760465125785,11.86862228590597,171.2400242447979,26.75528931172572,345.7674099765574,971.5585822353139,1.085446259412426,2.754074670839144
2001566,1566 Icarus (1949 MA),16.55,True,2460800.5,.826997043765863,1.077993758993195,22.80383940637524,87.953081164487,31.43598858177906,336.9713647610996,408.8112105583476,.1864961071077725,1.969491410878617
2001580,1580 Betulia (1950 KA),14.62,False,2460800.5,.4876215452410699,2.19530258195301,52.18774063331446,62.22733001489891,159.7290128317103,19.6429427261746,1188.06447270668,1.124825744669373,3.265779419236647
2001620,1620 Geographos (1951 RA),15.27,True,2460800.5,.3356379546214706,1.245661499800686,13.33583532561431,337.1486100384453,277.0026344334289,71.15105828536672,507.8067734392566,.8275702218568705,1.663752777744502
2001627,1627 Ivar (1929 SH),12.79,False,2460800.5,.3972474665970576,1.863027539433257,8.456136476887867,133.0747743852537,167.8416830990044,233.9316031199976,928.8109760487465,1.122944569192846,2.603110509673669
2001685,1685 Toro (1948 OA),14.28,False,2460800.5,.4360388253134502,1.367883881478552,9.381908106861054,274.20849457819,127.2785904967224,319.4620613496753,584.3489593438653,.7714334006334416,1.964334362323663
2001862,1862 Apollo (1932 HA),16.08,True,2460800.5,.5598464936018323,1.470718674656975,6.352185783539661,35.55703413605983,286.0250458673909,3.399359758420606,651.4676238253429,.6473419815755338,2.294095367738417
2001863,1863 Antinous (1948 EA),15.46,False,2460800.5,.60632424970856,2.261087587826247,18.35871578711857,345.6895629428679,268.901806533281,231.6748469914984,1241.865338693286,.8901353526121598,3.632039823040333
2001864,1864 Daedalus (1971 FA),14.84,False,2460800.5,.6143747649580364,1.460881510207671,22.21466822901931,6.600868219588278,325.6621082959442,145.9155250122742,644.9423793720721,.5633527757422918,2.35841024467305
2001865,1865 Cerberus (1971 UA),16.79,False,2460800.5,.4668522298549034,1.079958941003393,16.10139880372478,212.8851939844074,325.2933513445654,144.0257174427442,409.929613790527,.5757777012442187,1.584140180762566
2001866,1866 Sisyphus (1972 XA),12.48,False,2460800.5,.5380672679973022,1.893625005051852,41.20711450673809,63.45254479306104,293.1098691865537,64.98473425371212,951.7861843447965,.8747273719722243,2.912522638131479
2001915,1915 Quetzalcoatl (1953 EA),18.38,False,2460800.5,.5702617900147232,2.544917681590535,20.3989349511953,162.9261754395161,347.7533639371136,333.0615626387657,1482.890338277411,1.093648369046597,3.996186994134474
2001916,1916 Boreas (1953 RA),14.92,False,2460800.5,.4493028401165067,2.273154349694158,12.8766892273793,340.5977290630955,335.8492051888641,337.584099571816,1251.819797342257,1.251819644353382,3.294489055034934
2001917,1917 Cuyo (1968 AA),14.38,False,2460800.5,.5056261748498805,2.148996910593281,23.96047267571335,188.2748645025707,194.5550282310045,97.50503539996103,1150.673505782372,1.06240782292579,3.235585998260772
2001943,1943 Anteros (1973 EC),15.69,False,2460800.5,.2561027627674788,1.43032986682301,8.708729946912538,246.2936957403874,338.4423868560169,145.150994295364,624.8168568146249,1.064018436260797,1.796641297385223
2001980,1980 Tezcatlipoca (1950 LA),13.81,False,2460800.5,.3647331673187133,1.709381149952363,26.87003873990315,246.5434218698302,115.4822640382142,123.2738830588541,816.3131500343929,1.085913148975334,2.332849150929393
